RECID,SESSION_ID,PNAME_VAL,BNAME,USDComm,ImpliedCommUSD,ConDate,Security,Units,T,Price,NET,BCODE,Q,ResearchComm,ExecComm,Exchange,USDOtherExp,CCL_CAT,COUNTRY,ALGO_FLAG
30206,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,ARQAAM CAPITAL,286.529796,0.0,2020-08-30,RJHI.AB,15539.0,S,65.869374,272485.72457,ARQCAP,2020-Q3,0.0,286.529796,SAR,136.4778029596053,ORD,SAUDI ARABIA,NON-ALGO
30207,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,129.341019,0.0,2020-07-13,VESTA MM,110904.0,P,33.099617,161786.565409,BRADES,2020-Q3,0.0,129.341019,MXP,0.0,ORD,MEXICO,NON-ALGO
30208,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,160.901111,0.0,2020-07-14,VESTA MM,138759.0,P,32.568787,201322.335481,BRADES,2020-Q3,0.0,160.901111,MXP,0.0,ORD,MEXICO,NON-ALGO
30209,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,4.062182,0.0,2020-07-15,VESTA MM,3468.0,P,32.683599,5080.52347,BRADES,2020-Q3,0.0,4.062182,MXP,0.0,ORD,MEXICO,NON-ALGO
30210,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,142.366412,0.0,2020-07-16,VESTA MM,122419.0,P,32.6035,178108.758561,BRADES,2020-Q3,0.0,142.366412,MXP,0.0,ORD,MEXICO,NON-ALGO
30211,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,14.362137,0.0,2020-07-17,VESTA MM,12415.0,P,32.639532,17966.802455,BRADES,2020-Q3,0.0,14.362137,MXP,0.0,ORD,MEXICO,NON-ALGO
30212,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,28.134381,0.0,2020-07-22,VESTA MM,23757.0,P,33.0913,35200.585648,BRADES,2020-Q3,0.0,28.134381,MXP,0.0,ORD,MEXICO,NON-ALGO
30213,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,194.619737,0.0,2020-07-23,ARZZ3 BZ,24300.0,S,52.1941,243006.427543,BRADES,2020-Q3,0.0,194.619737,BOV,74.4164189124388,ORD,BRAZIL,NON-ALGO
30214,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,235.675592,0.0,2020-07-23,BAN.MM,85100.0,S,77.93,294359.058269,BRADES,2020-Q3,0.0,235.675592,MXP,0.0,ORD,MEXICO,NON-ALGO
30215,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,47.988273,0.0,2020-07-23,VESTA MM,40693.0,P,33.177878,60021.441691,BRADES,2020-Q3,0.0,47.988273,MXP,0.0,ORD,MEXICO,NON-ALGO
30216,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,321.900508,0.0,2020-07-27,VESTA MM,260800.0,P,33.9582,402719.052562,BRADES,2020-Q3,0.0,321.900508,MXP,0.0,ORD,MEXICO,NON-ALGO
30217,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,518.889877,0.0,2020-07-29,BRDT3,143160.0,P,23.442681,649330.453016,BRADES,2020-Q3,0.0,518.889877,BOV,198.403617950601,ORD,BRAZIL,NON-ALGO
30218,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,270.162527,0.0,2020-07-31,ARZZ3 BZ,34400.0,S,51.220959,337329.885387,BRADES,2020-Q3,0.0,270.162527,BOV,103.3003679852805,ORD,BRAZIL,NON-ALGO
30219,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,1028.116375,0.0,2020-07-31,BRDT3,289829.0,P,23.135608,1286565.765869,BRADES,2020-Q3,0.0,1028.116375,BOV,393.1136921189819,ORD,BRAZIL,NON-ALGO
30220,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,0.330693,0.0,2020-07-31,QCS.MM,100.0,S,92.0022,413.045295,BRADES,2020-Q3,0.0,0.330693,MXP,0.0,ORD,MEXICO,NON-ALGO
30221,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,959.719441,0.0,2020-08-03,BRDT3,291416.0,S,21.891998,1198323.276826,BRADES,2020-Q3,0.0,959.719441,BOV,366.9609529988059,ORD,BRAZIL,NON-ALGO
30222,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,166.362992,0.0,2020-08-03,QCS.MM,51679.0,S,91.054382,207785.140763,BRADES,2020-Q3,0.0,166.362992,MXP,0.0,ORD,MEXICO,NON-ALGO
30223,F95DEC3D-F27A-4E84-AC2E-823A8852F9B5,MAG GEMS DIV FD,BRADESCO,216.347748,0.0,2020-09-07,WALMEX,110600.0,P,52.79925,270645.686261,BRADES,2020-Q3,0.0,216.347748,MXP,0.0,ORD,MEXICO,NON-ALGO
