"period_end","isin","units","price","reason"
"2026-04-29","KR7443060009","-3105","0","HD Hyundai Marine ? confirm with ops"
"2026-04-29","SA12U0RHUHH8","-2257","0","United Electronics CFD ? confirm with ops"
"2026-04-29","SA165I21VPH1","1530","0","Tasheel ? confirm bonus"
"2026-04-29","VN000000FPT1","-51000","0","FPT Corp ? confirm VN CA"
"2026-04-30","KR7443060009","-3105","0","HD Hyundai Marine ? confirm with ops"
"2026-04-30","SA12U0RHUHH8","-2890","0","United Electronics CFD ? confirm with ops | [recurrence=67] UNITED ELECTRON CO ? recurring CA ? last seen 2026-04-29 (67 prior occurrences)"
"2026-04-30","SA165I21VPH1","2688","0","Tasheel ? confirm bonus | [recurrence=67] TASHEEL ? recurring CA ? last seen 2026-04-29 (67 prior occurrences)"
"2026-04-30","VN000000FPT1","-51000","0","FPT Corp ? confirm VN CA"
"2026-04-30","IE00BD5B1Y92","-2853","0","[NEW] BANK OF CYPRUS HLD ? TODO confirm with ops"
"2026-04-30","SA0007879360","23540","0","[NEW] SUSTAINED INFRASTR ? TODO confirm with ops"
"2026-04-30","SA000A0MWH44","-18756","0","[NEW] UNITED INTL TRANSP ? TODO confirm with ops"
"2026-05-04","KR7443060009","-3105","0","HD Hyundai Marine ? confirm with ops"
"2026-05-04","SA12U0RHUHH8","-4130","0","United Electronics CFD ? confirm with ops | [recurrence=71] UNITED ELECTRON CO ? recurring CA ? last seen 2026-04-30 (71 prior occurrences)"
"2026-05-04","SA165I21VPH1","4276","0","Tasheel ? confirm bonus | [recurrence=71] TASHEEL ? recurring CA ? last seen 2026-04-30 (71 prior occurrences)"
"2026-05-04","VN000000FPT1","-76300","0","FPT Corp ? confirm VN CA | [recurrence=71] FPT CORPORATION ? recurring CA ? last seen 2026-04-30 (71 prior occurrences)"
"2026-05-04","IE00BD5B1Y92","-8066","0","[recurrence=4] BANK OF CYPRUS HLD ? recurring CA ? last seen 2026-04-30 (4 prior occurrences)"
"2026-05-04","INE066P01011","-833916","0","[NEW] INOX WIND LTD ? TODO confirm with ops"
"2026-05-04","INE530B01024","182596","0","[NEW] IIFL FINANCE LTD ? TODO confirm with ops"
"2026-05-04","KR7402340004","-1768","0","[NEW] SK SQUARE CO LTD ? TODO confirm with ops"
"2026-05-04","SA0007879360","136284","0","[recurrence=4] SUSTAINED INFRASTR ? recurring CA ? last seen 2026-04-30 (4 prior occurrences)"
"2026-05-04","SA000A0MWH44","-18756","0","[recurrence=4] UNITED INTL TRANSP ? recurring CA ? last seen 2026-04-30 (4 prior occurrences)"
"2026-05-04","AU000000AEE7","-4878049","0","[NEW]  ? TODO confirm with ops"
"2026-05-04","AU0000058737","-465116","0","[NEW] LOTUS RESOURCES ? TODO confirm with ops"
"2026-05-04","CA01921D2041","-20063","0","[NEW]  ? TODO confirm with ops"
"2026-05-04","CNE100000296","-64700","0","[NEW] BYD CO 'H'SHS CNY1 CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","CNE100007DS6","-16661","0","[NEW]  ? TODO confirm with ops"
"2026-05-04","COTK7PA00010","-138000","0","[NEW] GRUPO CIBEST SA CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","CY0200751713","8700","0","[NEW] THEON INTL PLC ? TODO confirm with ops"
"2026-05-04","DE0007030009","-462","0","[NEW] RHEINMETALL AG CFD HSBC ? TODO confirm with ops"
"2026-05-04","DE000HAG0005","-9771","0","[NEW] HENSOLDT AG CFD HSBC ? TODO confirm with ops"
"2026-05-04","DE000HLAG475","-3479","0","[NEW] HAPAG-LLOYD AG CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","DE000RENK730","-14309","0","[NEW] RENK GROUP AG CFD HSBC ? TODO confirm with ops"
"2026-05-04","FDGSCBIHKT","-184894","0","[NEW] GSCBIHKT CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","GRS434003000","-140000","0","[NEW] PUBLIC POWER CORP CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","KYG6181S1093","-19756","0","[NEW]  ? TODO confirm with ops"
"2026-05-04","MA0000011462","-2292","0","[NEW]  ? TODO confirm with ops"
"2026-05-04","MX01Q0000008","-196571","0","[NEW] QUALITAS CONTROLADOR CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","MXCFFM010000","-3966301","0","[NEW] FIBRA MTY SAPI DE CV CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","PLKETY000011","-6434","0","[NEW] GRUPA KETY SA CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","QA000A0M8VM3","4016284","0","[NEW] MASRAF AL RAYAN CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","RO249YW1FZP5","-667960","0","[NEW]  ? TODO confirm with ops"
"2026-05-04","ROSNPPACNOR9","-149910","0","[NEW] SNP PETROM ? TODO confirm with ops"
"2026-05-04","SA0007879048","-86666","0","[NEW] RIYAD BANK CFD HSBC ? TODO confirm with ops"
"2026-05-04","SA0007879519","122760","0","[NEW] YANBU CEMENT CO CFD HSBC ? TODO confirm with ops"
"2026-05-04","SA000A0HNF36","-222000","0","[NEW] YANBU NATIONAL PETRO CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","SA14TG012N13","155416","0","[NEW] SAUDI ARABIAN OIL CO CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","SA15M1HH2NH5","-16660","0","[NEW] SAUDI ARAMCO BASE ? TODO confirm with ops"
"2026-05-04","SA169G7I3IH8","90056","0","[NEW] UMM AL QURA FOR DE ? TODO confirm with ops"
"2026-05-04","US4642866242","39031","0","[NEW] ISHARES MSCI THAILAN CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","US46429B6065","36360","0","[NEW] ISHARES MSCI POLAND CFD GOLDMAN ? TODO confirm with ops"
"2026-05-04","VN000000SSI1","-142800","0","[NEW] SSI SECURITIES CORP CFD HSBC ? TODO confirm with ops"
"2026-05-04","VNMIRSSI2514","714000","0","[NEW] SSI SECURITIES CORP CFD HSBC ? TODO confirm with ops"
"2026-05-04","Z208B2665","-11754","0","[NEW]  ? TODO confirm with ops"
"2026-05-04","Z9E17287A","-200","0","[NEW] Skyline Builders Cla ? TODO confirm with ops"
"2026-05-04","VN000000PNJ6","759346.5","0","(auto-derived from snapshot delta)"
"2026-05-04","VN000000VCK5","1219200","0","(auto-derived from snapshot delta)"
"2026-05-05","AU0000058737","-10648167","0","(auto-derived from snapshot delta)"
"2026-05-05","SA000A0MWH44","43884","0","(auto-derived from snapshot delta)"
"2026-05-05","VN000000PNJ6","759346.5","0","(auto-derived from snapshot delta)"
"2026-05-05","VN000000VCK5","1219200","0","(auto-derived from snapshot delta)"
"2026-05-06","AU0000058737","-10648167","0","(auto-derived from snapshot delta)"
"2026-05-06","SA000A0MWH44","43884","0","(auto-derived from snapshot delta)"
"2026-05-06","VN000000PNJ6","759346.5","0","(auto-derived from snapshot delta)"
"2026-05-06","VN000000VCK5","1219200","0","(auto-derived from snapshot delta)"
"2026-05-07","AU0000058737","-10648167","0","(auto-derived from snapshot delta)"
"2026-05-07","SA000A0MWH44","43884","0","(auto-derived from snapshot delta)"
"2026-05-07","VN000000PNJ6","759346.5","0","(auto-derived from snapshot delta)"
"2026-05-07","VN000000VCK5","1219200","0","(auto-derived from snapshot delta)"
"2026-05-18","AU0000058737","-10648167","0","(auto-derived from snapshot delta)"
"2026-05-18","SA000A0MWH44","43884","0","(auto-derived from snapshot delta)"
"2026-05-18","SA165I21VPH1","100222","0","(auto-derived from snapshot delta)"
"2026-05-18","VN000000PNJ6","759346","0","(auto-derived from snapshot delta)"
"2026-05-18","VN000000VCK5","1219200","0","(auto-derived from snapshot delta)"
"2026-05-20","AU0000058737","-10648167","0","(auto-derived from snapshot delta)"
"2026-05-20","SA000A0MWH44","43884","0","(auto-derived from snapshot delta)"
"2026-05-20","SA165I21VPH1","100222","0","(auto-derived from snapshot delta)"
"2026-05-20","VN000000PNJ6","759346","0","(auto-derived from snapshot delta)"
"2026-05-20","VN000000VCK5","1219200","0","(auto-derived from snapshot delta)"
"2026-05-13","AU0000058737","-10648167","0","(auto-derived from snapshot delta)"
"2026-05-13","SA000A0MWH44","43884","0","(auto-derived from snapshot delta)"
"2026-05-13","SA165I21VPH1","100222","0","(auto-derived from snapshot delta)"
"2026-05-13","VN000000PNJ6","759346","0","(auto-derived from snapshot delta)"
"2026-05-13","VN000000VCK5","1219200","0","(auto-derived from snapshot delta)"
"2026-05-21","AU0000058737","-10648167","0","(auto-derived from snapshot delta)"
"2026-05-21","GRS434003000","97347","0","(auto-derived from snapshot delta)"
"2026-05-21","GRS434003000:FUT","-97347","0","(auto-derived from snapshot delta)"
"2026-05-21","SA000A0MWH44","43884","0","(auto-derived from snapshot delta)"
"2026-05-21","SA165I21VPH1","100222","0","(auto-derived from snapshot delta)"
"2026-05-21","VN000000PNJ6","759346","0","(auto-derived from snapshot delta)"
"2026-05-21","VN000000VCK5","1219200","0","(auto-derived from snapshot delta)"
2026-05-20,GRS434003000,97347,17.9206,PPC CFD->physical conversion 2026-05-21 at CFD avg exit price
2026-05-24,GRS434003000,97347,17.9206,PPC CFD->physical conversion 2026-05-21 at CFD avg exit price
2026-05-24,AU0000058737,-10648167,0,(auto-derived from snapshot delta)
2026-05-24,SA000A0MWH44,43884,0,(auto-derived from snapshot delta)
2026-05-24,SA165I21VPH1,100222,0,(auto-derived from snapshot delta)
2026-05-24,VN000000PNJ6,759346,0,(auto-derived from snapshot delta)
2026-05-24,VN000000VCK5,1219200,0,(auto-derived from snapshot delta)
