isin,yahoo_ticker
AEA000201011,ADCB.AE
AEE001901017,EMAARDEV.AE
AEE01710A255,ALEC.AE
AEF000901015,FERTIGLOBE.AE
BH0006000044,ALBH.BH
CNE100007DY4,002130.SZ
CNE100007JY1,6843.HK
DE0007030009,RHM.DE
DE000A2E4K43,DHER.DE
DE000HAG0005,HAG.DE
DE000HLAG475,HLAG.DE
DE000RENK730,RENK.DE
GB00BJVWTM27,GMS.L
GG00BD95V148,ATM.L
GRS001003052,CRED.AT
GRS298343005,ELPE.AT
GRS426003000,MOH.AT
GRS434003000,PPC.AT
GRS829003003,EUROB.AT
GRS830003000,ALPHA.AT
GRS831003009,TPEIR.AT
ID1000095003,BMRI.JK
ID1000144108,MAPB.JK
IE00BD5B1Y92,BOCH.L
INE208C01025,AEGISLOG.NS
INE530B01024,IIFLSEC.NS
KR7402340004,402340.KS
KR7443060009,443060.KS
KYG020141019,1789.HK
KYG070341048,9888.HK
KYG8879R1048,1729.HK
MX01AL0C0004,ALPEKA.MX
MX01VE0M0003,VESTA.MX
MXCFFI0U0002,FIBRAMQ.MX
NL0015000AU7,PCO.WA
NL0015073TS8,CSG.AS
PH0000058638,OGP.PS
PHY6028G1361,MBT.PS
PLBNFTS00018,BFT.WA
PLDGNST00012,DIAG.WA
QA000PK2KD10,MEEZA.QA
ROSNPPACNOR9,SNP.RO
SA0007879360,1316.SR
SA0007879451,3020.SR
SA12U0RHUHH8,4003.SR
SA1591410GH0,4265.SR
SA15M1HH2NH5,2030.SR
SA165I21VPH1,4083.SR
SA16CI8KMOH3,9649.SR
SA16D0820P10,2189.SR
SA31RG522S19,4280.SR
TH0689010Z18,KTC.BK
US46627J3023,HSBK.L
US63253R2013,KAP.L
US66980N2036,NLBR.L
VGG0896C1032,BBBB.MX
VN000000FPT1,FPT.VN
VN000000GMD0,GMD.VN
VN000000HDB1,HDB.VN
VN000000MBB5,MBB.VN
VN000000MWG0,MWG.VN
VN000000NLG1,NLG.VN
VN000000PNJ6,PNJ.VN
VN000000TCB8,TCB.VN
VN000000VCK5,VCI.VN
